orderid,custid,orderstatus,totalprice,orderdate,orderpriority,clerk,storeid,shippriority,ordercomment,orderqty,productid,discount
223591,1311,C,1343.13,2020-08-27,10,Auggie Sunshine,4,4,In Stock,3,9,67.16
203260,1356,C,1373.52,2020-09-09,10,Steve Fall,4,4,In Stock,3,4,13.74
265904,1374,C,1532.48,2020-10-02,10,Ossie Leaves,3,3,In Stock,5,9,19.16
275019,1019,C,1267.60,2020-01-07,10,Jack Snow,8,3,In Stock,1,3,15.84
219410,1181,C,1282.36,2020-05-14,10,May Flowers,3,3,In Stock,4,9,16.03
314497,1107,C,1379.61,2020-03-09,10,Matt Winds,10,5,In Stock,1,3,17.25
486870,1477,C,1379.61,2020-12-29,10,Dee Winter,10,5,In Stock,1,1,22.99
166798,1268,C,1324.90,2020-07-06,10,Justin Heat,5,5,In Stock,2,2,16.56
210457,1197,C,1251.34,2020-05-19,10,May Flowers,2,2,In Stock,6,3,62.57
447819,1349,C,1207.24,2020-09-07,10,Steve Fall,8,3,In Stock,1,10,20.12
265719,1309,C,1207.24,2020-08-07,10,Auggie Sunshine,8,3,In Stock,1,9,20.12
204482,1332,C,1628.78,2020-09-21,10,Steve Fall,9,4,In Stock,1,2,16.29
475980,1038,C,1397.83,2020-01-31,10,Jack Snow,8,3,In Stock,1,9,34.95
162882,1082,C,1227.66,2020-03-21,10,Matt Winds,8,3,In Stock,1,5,12.28
462623,1273,C,1115.00,2020-07-08,10,Justin Heat,6,1,In Stock,1,6,55.75
358930,1073,C,1397.83,2019-02-28,10,Fred Cold,8,3,In Stock,1,3,13.98
337396,1156,C,1331.27,2020-04-30,10,April Rains,2,2,In Stock,6,9,16.64
492864,1334,C,1350.00,2020-09-22,10,Steve Fall,1,1,In Stock,13,2,13.50
220346,1196,C,1373.52,2020-05-29,10,May Flowers,4,4,In Stock,3,9,68.68
342616,1266,C,1080.00,2020-07-06,10,Justin Heat,1,1,In Stock,10,7,27.00
213168,1458,C,1040.00,2020-12-23,10,Dee Winter,1,1,In Stock,10,5,10.40
345430,1200,C,1150.00,2019-05-10,10,May Flowers,1,1,In Stock,11,4,28.75
327383,1143,C,1229.29,2020-04-28,10,April Rains,10,5,In Stock,1,3,12.29
538113,1463,C,1232.87,2020-12-05,10,Dee Winter,3,3,In Stock,4,3,20.55
252320,1082,C,1227.66,2020-03-11,10,Matt Winds,8,3,In Stock,1,2,20.46
275322,1142,C,1284.97,2020-04-08,10,April Rains,5,5,In Stock,2,9,16.06
212535,1215,C,1235.00,2020-06-12,10,June Summer,6,1,In Stock,2,4,20.58
360091,1101,C,1343.13,2019-03-27,10,Matt Winds,4,4,In Stock,3,7,67.16
210720,1310,C,1212.75,2020-08-07,10,Auggie Sunshine,3,3,In Stock,4,6,30.32
388191,1491,C,1150.00,2019-12-31,10,Dee Winter,1,1,In Stock,11,10,19.17
222710,1301,C,1282.36,2020-08-24,10,Auggie Sunshine,3,3,In Stock,4,9,12.82
447592,1242,C,1267.88,2020-06-30,10,June Summer,8,3,In Stock,1,7,31.70
180580,1028,C,1385.67,2020-01-20,10,Jack Snow,6,1,In Stock,2,1,17.32
140326,1146,C,1245.82,2020-04-09,10,April Rains,6,1,In Stock,2,5,31.15
215980,1038,C,1397.83,2020-01-31,10,Jack Snow,8,3,In Stock,1,9,23.30
259170,1387,C,1318.82,2020-10-06,10,Ossie Leaves,9,4,In Stock,1,6,16.49
222750,1305,C,1306.67,2020-08-25,10,Auggie Sunshine,7,2,In Stock,1,1,21.78
327850,1350,C,1212.75,2020-09-17,10,Steve Fall,3,3,In Stock,4,10,20.21
462253,1103,C,1115.00,2020-03-18,10,Matt Winds,6,1,In Stock,1,3,27.88
342328,1148,C,1140.00,2020-04-10,10,April Rains,1,1,In Stock,11,9,28.50
382969,1379,C,1209.72,2019-10-23,10,Ossie Leaves,10,5,In Stock,1,8,30.24
317082,1172,C,1434.30,2020-05-21,10,May Flowers,5,5,In Stock,2,7,71.72
221831,1271,C,1343.13,2020-07-07,10,Justin Heat,4,4,In Stock,3,4,16.79
382866,1336,C,1192.36,2019-09-22,10,Steve Fall,3,3,In Stock,3,3,29.81
195260,1026,C,1373.52,2020-01-09,10,Jack Snow,4,4,In Stock,3,1,13.74
362800,1230,C,1337.06,2019-06-27,10,June Summer,8,3,In Stock,1,5,16.71
439392,1262,C,1288.43,2020-07-24,10,Justin Heat,9,4,In Stock,1,8,12.88
442940,1444,C,1397.83,2020-11-30,10,Norbert Thanks,8,3,In Stock,1,9,17.47
323484,1424,C,1300.59,2020-11-15,10,Norbert Thanks,1,1,In Stock,13,8,13.01
259229,1339,C,1270.21,2020-09-13,10,Steve Fall,1,1,In Stock,12,4,21.17
439840,1314,C,1361.37,2020-08-28,10,Auggie Sunshine,2,2,In Stock,6,9,17.02
325013,1473,C,1355.29,2020-12-28,10,Dee Winter,6,1,In Stock,2,8,22.59
327419,1189,C,1207.24,2020-05-07,10,May Flowers,8,3,In Stock,1,4,15.09
372546,1226,C,1190.70,2019-06-16,10,June Summer,1,1,In Stock,11,6,19.84
265631,1251,C,1108.01,2020-07-11,10,Justin Heat,9,4,In Stock,1,4,11.08
492328,1148,C,1140.00,2020-04-10,10,April Rains,1,1,In Stock,11,4,28.50
462678,1268,C,1090.00,2020-07-26,10,Justin Heat,1,1,In Stock,10,8,13.62
415593,1243,C,1267.88,2019-06-30,10,June Summer,8,3,In Stock,1,7,12.68
338185,1475,C,1302.33,2020-12-29,10,Dee Winter,3,3,In Stock,4,5,32.56
434700,1090,C,1276.28,2020-03-24,10,Matt Winds,7,2,In Stock,1,2,12.76
387207,1087,C,1035.00,2019-03-03,10,Matt Winds,6,1,In Stock,1,6,12.94
275398,1158,C,1331.27,2020-04-30,10,April Rains,2,2,In Stock,6,6,33.28
212550,1230,C,1100.00,2020-06-17,10,June Summer,1,1,In Stock,11,5,55.00
493041,1421,C,1055.00,2020-11-14,10,Norbert Thanks,6,1,In Stock,1,10,52.75
542940,1380,C,1050.00,2020-10-14,10,Ossie Leaves,1,1,In Stock,10,8,10.50
200335,1195,C,1367.45,2020-05-29,10,May Flowers,8,3,In Stock,1,5,17.09
240242,1092,C,1227.08,2020-03-14,10,Matt Winds,8,3,In Stock,1,7,12.27
266119,1469,C,1207.24,2020-12-07,10,Dee Winter,8,3,In Stock,1,9,12.07
190791,1391,C,1343.13,2020-10-27,10,Ossie Leaves,4,4,In Stock,3,3,33.58
492183,1063,C,1115.00,2020-02-28,10,Fred Cold,6,1,In Stock,1,1,55.75
280637,1257,C,1035.00,2020-07-13,10,Justin Heat,6,1,In Stock,1,6,10.35
345340,1130,C,1050.00,2019-04-14,10,April Rains,1,1,In Stock,10,8,26.25
217360,1086,C,1251.98,2020-03-12,10,Matt Winds,2,2,In Stock,6,1,31.30
314140,1094,C,1300.59,2020-03-05,10,Matt Winds,1,1,In Stock,13,2,21.68
207551,1461,C,1282.36,2020-12-14,10,Dee Winter,3,3,In Stock,4,3,32.06
420565,1215,C,1235.00,2020-06-22,10,June Summer,6,1,In Stock,2,10,30.88
261671,1411,C,1221.58,2020-11-21,10,Norbert Thanks,2,2,In Stock,6,6,12.22
439876,1306,C,1312.75,2020-08-06,10,Auggie Sunshine,3,3,In Stock,4,4,13.13
387693,1283,C,1150.00,2019-07-31,10,Justin Heat,1,1,In Stock,11,7,28.75
417404,1174,C,1190.00,2019-05-02,10,May Flowers,1,1,In Stock,11,5,59.50
438061,1231,C,1343.13,2020-06-17,10,June Summer,4,4,In Stock,3,4,33.58
537655,1275,C,1302.33,2020-07-19,10,Justin Heat,3,3,In Stock,4,10,16.28
165808,1238,C,1385.67,2020-06-10,10,June Summer,6,1,In Stock,2,2,17.32
201820,1272,C,1349.22,2020-07-28,10,Justin Heat,10,5,In Stock,1,3,33.73
313690,1049,C,1270.21,2020-02-23,10,Fred Cold,1,1,In Stock,12,10,21.17
210853,1353,C,1229.29,2020-09-18,10,Steve Fall,10,5,In Stock,1,1,30.73
337609,1259,C,1209.72,2020-07-03,10,Justin Heat,10,5,In Stock,1,6,15.12
432370,1007,C,1258.05,2020-01-13,10,Jack Snow,9,4,In Stock,1,1,20.97
228002,1472,C,1349.22,2020-12-28,10,Dee Winter,10,5,In Stock,1,1,67.46
342421,1191,C,1105.00,2020-05-07,10,May Flowers,6,1,In Stock,1,10,11.05
417606,1256,C,1030.00,2019-07-02,10,Justin Heat,1,1,In Stock,10,5,12.88
312771,1017,C,1318.82,2020-01-26,10,Jack Snow,9,4,In Stock,1,1,16.49
410285,1375,C,1695.63,2019-10-12,10,Ossie Leaves,6,1,In Stock,2,10,21.20
337914,1384,C,1238.66,2020-10-05,10,Ossie Leaves,9,4,In Stock,1,7,15.48
141193,1493,C,1267.88,2020-12-31,10,Dee Winter,8,3,In Stock,1,3,63.39
181100,1040,C,1397.83,2020-01-31,10,Jack Snow,8,3,In Stock,1,3,17.47
210872,1342,C,1168.65,2020-09-24,10,Steve Fall,9,4,In Stock,1,1,29.22
481840,1274,C,1361.37,2020-07-28,10,Justin Heat,2,2,In Stock,6,10,68.07
258691,1320,C,1397.83,2020-08-30,10,Auggie Sunshine,8,3,In Stock,1,8,69.89
188400,1340,C,1276.28,2020-09-14,10,Steve Fall,7,2,In Stock,1,10,63.81
220721,1230,C,1337.06,2020-06-07,10,June Summer,8,3,In Stock,1,10,66.85
462916,1386,C,1080.00,2020-10-06,10,Ossie Leaves,1,1,In Stock,10,9,54.00
240766,1296,C,1192.36,2020-08-22,10,Auggie Sunshine,3,3,In Stock,3,4,59.62
447010,1010,C,1157.62,2020-01-04,10,Jack Snow,8,3,In Stock,1,10,57.88
259730,1383,C,1294.51,2020-10-25,10,Ossie Leaves,5,5,In Stock,2,5,12.95
320151,1301,C,1282.36,2020-08-14,10,Auggie Sunshine,3,3,In Stock,4,1,21.37
342684,1274,C,1120.00,2020-07-28,10,Justin Heat,1,1,In Stock,11,6,14.00
168700,1340,C,1276.28,2020-09-24,10,Steve Fall,7,2,In Stock,1,4,63.81
462874,1344,C,1070.00,2020-09-25,10,Steve Fall,1,1,In Stock,10,7,17.83
441075,1355,C,1367.45,2020-09-09,10,Steve Fall,8,3,In Stock,1,1,17.09
492177,1057,C,1085.00,2020-02-26,10,Fred Cold,6,1,In Stock,1,6,54.25
417726,1316,C,1130.00,2019-08-09,10,Auggie Sunshine,1,1,In Stock,11,10,56.50
224757,1357,C,1379.61,2020-09-29,10,Steve Fall,10,5,In Stock,1,9,68.98
368418,1418,C,1264.13,2019-11-13,10,Norbert Thanks,5,5,In Stock,2,3,31.60
388137,1457,C,1035.00,2019-12-13,10,Dee Winter,6,1,In Stock,1,3,10.35
140171,1051,C,1163.14,2020-02-24,10,Fred Cold,4,4,In Stock,2,9,29.08
190070,1417,C,1258.05,2020-11-03,10,Norbert Thanks,9,4,In Stock,1,8,12.58
417440,1180,C,1050.00,2019-05-14,10,May Flowers,1,1,In Stock,10,1,52.50
542728,1318,C,1140.00,2020-08-10,10,Auggie Sunshine,1,1,In Stock,11,5,57.00
441380,1378,C,1264.13,2020-10-13,10,Ossie Leaves,5,5,In Stock,2,8,12.64
301124,1474,C,1120.00,2020-12-08,10,Dee Winter,1,1,In Stock,11,2,56.00
211175,1465,C,1185.19,2020-12-24,10,Dee Winter,6,1,In Stock,1,1,14.81
184543,1183,C,1294.51,2020-05-05,10,May Flowers,5,5,In Stock,2,5,12.95
493134,1454,C,1470.00,2020-12-12,10,Dee Winter,1,1,In Stock,14,4,36.75
231016,1426,C,1190.70,2020-11-06,10,Norbert Thanks,1,1,In Stock,11,7,19.84
387891,1361,C,1150.00,2019-09-30,10,Steve Fall,1,1,In Stock,11,5,57.50
261991,1440,C,1397.83,2020-11-30,10,Norbert Thanks,8,3,In Stock,1,8,13.98
515850,1145,C,1367.45,2020-04-29,10,April Rains,8,3,In Stock,1,6,13.67
491033,1413,C,1571.06,2020-11-11,10,Norbert Thanks,2,2,In Stock,7,3,39.28
212683,1273,C,1115.00,2020-07-28,10,Justin Heat,6,1,In Stock,1,1,13.94
212479,1189,C,1095.00,2020-05-27,10,May Flowers,6,1,In Stock,1,2,54.75
462586,1236,C,1130.00,2020-06-29,10,June Summer,1,1,In Stock,11,4,28.25
372494,1204,C,1267.88,2019-05-30,10,May Flowers,8,3,In Stock,1,2,31.70
217760,1096,C,1312.75,2020-03-26,10,Matt Winds,3,3,In Stock,4,7,21.88
462361,1121,C,1005.00,2020-04-21,10,April Rains,6,1,In Stock,1,3,25.12
328080,1430,C,1212.75,2020-11-27,10,Norbert Thanks,3,3,In Stock,4,2,12.13
183399,1129,C,1270.21,2020-04-03,10,April Rains,1,1,In Stock,12,1,15.88
150466,1176,C,1192.36,2020-05-22,10,May Flowers,3,3,In Stock,3,1,19.87
190373,1383,C,1294.51,2020-10-15,10,Ossie Leaves,5,5,In Stock,2,9,21.58
382526,1236,C,1308.11,2019-06-09,10,June Summer,9,4,In Stock,1,9,13.08
415989,1399,C,1262.36,2019-10-30,10,Ossie Leaves,3,3,In Stock,4,6,31.56
300285,1105,C,1125.00,2020-03-29,10,Matt Winds,6,1,In Stock,1,4,14.06
343006,1416,C,1030.00,2020-11-02,10,Norbert Thanks,1,1,In Stock,10,1,17.17
490623,1273,C,1229.29,2020-07-08,10,Justin Heat,10,5,In Stock,1,6,30.73
265598,1248,C,1267.88,2020-06-30,10,June Summer,8,3,In Stock,1,6,12.68
417783,1313,C,1115.00,2019-08-28,10,Auggie Sunshine,6,1,In Stock,1,4,55.75
420801,1331,C,1005.00,2020-09-01,10,Steve Fall,6,1,In Stock,1,5,25.12
150628,1278,C,1319.69,2020-07-10,10,Justin Heat,10,5,In Stock,1,3,32.99
275039,1009,C,1209.72,2020-01-13,10,Jack Snow,10,5,In Stock,1,3,60.49
162761,1101,C,1343.13,2020-03-17,10,Matt Winds,4,4,In Stock,3,4,33.58
493151,1471,C,1105.00,2020-12-17,10,Dee Winter,6,1,In Stock,1,3,18.42
276038,1418,C,1203.93,2020-11-13,10,Norbert Thanks,4,4,In Stock,3,6,60.20
230625,1275,C,1240.31,2020-07-09,10,Justin Heat,1,1,In Stock,12,7,62.02
490438,1178,C,1146.60,2020-05-13,10,May Flowers,7,2,In Stock,1,4,57.33
417047,1017,C,1085.00,2019-01-16,10,Jack Snow,6,1,In Stock,1,2,54.25
372511,1221,C,1163.14,2019-06-04,10,June Summer,4,4,In Stock,2,1,29.08
480160,1226,C,1312.75,2020-06-06,10,June Summer,3,3,In Stock,4,4,16.41
345145,1055,C,1075.00,2019-02-15,10,Fred Cold,6,1,In Stock,1,8,10.75
213005,1415,C,1435.00,2020-11-02,10,Norbert Thanks,6,1,In Stock,2,4,17.94
230175,1055,C,1185.19,2020-02-25,10,Fred Cold,6,1,In Stock,1,2,11.85
342718,1308,C,1090.00,2020-08-06,10,Auggie Sunshine,1,1,In Stock,10,10,10.90
403751,1131,C,1282.36,2019-04-14,10,April Rains,3,3,In Stock,4,7,64.12
486583,1433,C,1355.29,2020-11-18,10,Norbert Thanks,6,1,In Stock,2,6,33.88
204746,1356,C,1373.52,2020-09-29,10,Steve Fall,4,4,In Stock,3,1,34.34
345124,1064,C,1120.00,2019-02-08,10,Fred Cold,1,1,In Stock,11,2,56.00
486297,1437,C,1379.61,2020-11-09,10,Norbert Thanks,10,5,In Stock,1,5,13.80
324650,1470,C,1337.06,2020-12-17,10,Dee Winter,8,3,In Stock,1,7,13.37
338129,1479,C,1325.48,2020-12-10,10,Dee Winter,6,1,In Stock,2,1,22.09
357440,1014,C,1300.59,2019-01-15,10,Jack Snow,1,1,In Stock,13,8,32.51
418126,1476,C,1130.00,2019-12-09,10,Dee Winter,1,1,In Stock,11,3,56.50
140041,1011,C,1163.14,2020-01-14,10,Jack Snow,4,4,In Stock,2,5,29.08
415903,1373,C,1526.96,2019-10-01,10,Ossie Leaves,7,2,In Stock,2,2,38.17
140163,1043,C,1119.04,2020-02-21,10,Fred Cold,10,5,In Stock,1,5,18.65
265043,1013,C,1174.16,2020-01-15,10,Jack Snow,5,5,In Stock,2,6,29.35
180396,1006,C,1251.98,2020-01-12,10,Jack Snow,2,2,In Stock,6,2,31.30
361884,1184,C,1300.59,2019-05-15,10,May Flowers,1,1,In Stock,13,8,13.01
447734,1294,C,1444.28,2020-08-12,10,Auggie Sunshine,5,5,In Stock,2,7,18.05
435784,1134,C,1300.59,2020-04-15,10,April Rains,1,1,In Stock,13,10,16.26
359783,1103,C,1355.29,2019-03-18,10,Matt Winds,6,1,In Stock,2,2,67.76
227969,1469,C,1330.98,2020-12-27,10,Dee Winter,1,1,In Stock,13,3,16.64
338167,1457,C,1198.14,2020-12-23,10,Dee Winter,9,4,In Stock,1,4,29.95
416166,1456,C,1135.58,2019-12-22,10,Dee Winter,6,1,In Stock,1,2,56.78
542657,1277,C,1135.00,2020-07-19,10,Justin Heat,6,1,In Stock,1,3,11.35
408580,1358,C,1385.67,2019-09-20,10,Steve Fall,6,1,In Stock,2,10,69.28
265918,1388,C,1201.72,2020-10-06,10,Ossie Leaves,2,2,In Stock,6,7,15.02
252500,1100,C,1337.06,2020-03-17,10,Matt Winds,8,3,In Stock,1,3,16.71
462700,1290,C,1150.00,2020-07-31,10,Justin Heat,1,1,In Stock,11,3,28.75
217201,1100,C,1337.06,2020-03-07,10,Matt Winds,8,3,In Stock,1,1,22.28
369386,1476,C,1373.52,2019-12-09,10,Dee Winter,4,4,In Stock,3,10,68.68
240407,1177,C,1198.14,2020-05-03,10,May Flowers,9,4,In Stock,1,9,29.95
387963,1373,C,1385.00,2019-10-21,10,Ossie Leaves,6,1,In Stock,2,8,23.08
337982,1392,C,1284.97,2020-10-28,10,Ossie Leaves,5,5,In Stock,2,5,32.12
480440,1224,C,1300.59,2020-06-15,10,June Summer,1,1,In Stock,13,9,65.03
196727,1067,C,1379.61,2020-02-19,10,Fred Cold,10,5,In Stock,1,6,68.98
342529,1239,C,1145.00,2020-06-10,10,June Summer,6,1,In Stock,1,1,11.45
342325,1145,C,1125.00,2020-04-09,10,April Rains,6,1,In Stock,1,4,18.75
420528,1238,C,1140.00,2020-06-10,10,June Summer,1,1,In Stock,11,8,14.25
483294,1314,C,1361.37,2020-08-18,10,Auggie Sunshine,2,2,In Stock,6,4,22.69
300317,1137,C,1085.00,2020-04-06,10,April Rains,6,1,In Stock,1,5,18.08
387778,1308,C,1090.00,2019-08-26,10,Auggie Sunshine,1,1,In Stock,10,1,27.25
168789,1329,C,1397.83,2020-08-31,10,Auggie Sunshine,8,3,In Stock,1,2,69.89
181330,1043,C,1233.74,2020-02-11,10,Fred Cold,4,4,In Stock,3,7,30.84
448199,1499,C,1267.88,2020-12-31,10,Dee Winter,8,3,In Stock,1,3,21.13
265630,1280,C,1267.88,2020-07-10,10,Justin Heat,8,3,In Stock,1,10,31.70
443570,1477,C,1379.61,2020-12-19,10,Dee Winter,10,5,In Stock,1,5,17.25
219340,1174,C,1446.46,2020-05-12,10,May Flowers,7,2,In Stock,2,5,14.46
346096,1446,C,1150.00,2019-11-30,10,Norbert Thanks,1,1,In Stock,11,2,19.17
212284,1104,C,1120.00,2020-03-28,10,Matt Winds,1,1,In Stock,11,4,56.00
300683,1273,C,1115.00,2020-07-28,10,Justin Heat,6,1,In Stock,1,9,27.88
387328,1148,C,1140.00,2019-04-10,10,April Rains,1,1,In Stock,11,6,57.00
327294,1114,C,1267.88,2020-03-31,10,Matt Winds,8,3,In Stock,1,10,15.85
210387,1147,C,1251.34,2020-04-29,10,April Rains,2,2,In Stock,6,2,20.86
457007,1007,C,1198.14,2020-01-03,10,Jack Snow,9,4,In Stock,1,9,59.91
436411,1171,C,1221.58,2020-05-01,10,May Flowers,2,2,In Stock,6,9,30.54
524606,1466,C,1312.75,2020-12-16,10,Dee Winter,3,3,In Stock,4,6,16.41
140218,1098,C,1201.72,2020-03-06,10,Matt Winds,2,2,In Stock,6,2,15.02
447606,1256,C,1135.58,2020-07-02,10,Justin Heat,6,1,In Stock,1,6,18.93
140809,1339,C,1152.11,2020-09-03,10,Steve Fall,3,3,In Stock,3,4,11.52
415733,1293,C,1438.76,2019-08-11,10,Auggie Sunshine,9,4,In Stock,1,1,71.94
447789,1319,C,1262.36,2020-08-30,10,Auggie Sunshine,3,3,In Stock,4,3,63.12
150250,1100,C,1273.39,2020-03-17,10,Matt Winds,4,4,In Stock,3,8,15.92
462532,1212,C,1220.00,2020-06-11,10,June Summer,1,1,In Stock,12,5,61.00
382310,1130,C,1215.50,2019-04-04,10,April Rains,6,1,In Stock,2,5,15.19
255941,1220,C,1276.28,2020-06-14,10,June Summer,7,2,In Stock,1,6,31.91
190340,1414,C,1738.18,2020-11-12,10,Norbert Thanks,9,4,In Stock,1,4,28.97
317973,1223,C,1294.51,2020-06-15,10,June Summer,5,5,In Stock,2,8,32.36
300395,1155,C,1150.00,2020-04-30,10,April Rains,1,1,In Stock,11,4,11.50
372093,1033,C,1267.88,2019-01-31,10,Jack Snow,8,3,In Stock,1,6,12.68
280003,1003,C,1015.00,2020-01-02,10,Jack Snow,6,1,In Stock,1,8,50.75
415487,1197,C,1251.34,2019-05-29,10,May Flowers,2,2,In Stock,6,2,15.64
301129,1479,C,1145.00,2020-12-10,10,Dee Winter,6,1,In Stock,1,2,28.62
319502,1272,C,1349.22,2020-07-28,10,Justin Heat,10,5,In Stock,1,10,13.49
363161,1266,C,1312.75,2019-07-06,10,Justin Heat,3,3,In Stock,4,9,13.13
212179,1059,C,1095.00,2020-02-27,10,Fred Cold,6,1,In Stock,1,2,54.75
360000,1120,C,1397.83,2019-03-31,10,Matt Winds,8,3,In Stock,1,7,13.98
253411,1130,C,1276.28,2020-04-04,10,April Rains,7,2,In Stock,1,10,15.95
492180,1060,C,1100.00,2020-02-27,10,Fred Cold,1,1,In Stock,11,3,27.50
415180,1060,C,1212.75,2019-02-27,10,Fred Cold,3,3,In Stock,4,10,15.16
342809,1339,C,1045.00,2020-09-03,10,Steve Fall,6,1,In Stock,1,9,13.06
441200,1390,C,1337.06,2020-10-07,10,Ossie Leaves,8,3,In Stock,1,6,22.28
252860,1106,C,1373.52,2020-03-29,10,Matt Winds,4,4,In Stock,3,8,34.34
190725,1385,C,1306.67,2020-10-25,10,Ossie Leaves,7,2,In Stock,1,3,32.67
240624,1274,C,1296.54,2020-07-08,10,Justin Heat,7,2,In Stock,1,7,32.41
180590,1029,C,1391.75,2020-01-20,10,Jack Snow,2,2,In Stock,6,3,13.92
172474,1454,C,1786.80,2020-12-12,10,Dee Winter,7,2,In Stock,2,1,29.78
407960,1326,C,1397.83,2019-08-31,10,Auggie Sunshine,8,3,In Stock,1,3,13.98
492382,1142,C,1110.00,2020-04-28,10,April Rains,1,1,In Stock,11,6,13.88
462936,1376,C,1030.00,2020-10-12,10,Ossie Leaves,1,1,In Stock,10,7,10.30
475946,1026,C,1373.52,2020-01-29,10,Jack Snow,4,4,In Stock,3,6,17.17
197596,1086,C,1251.98,2020-03-12,10,Matt Winds,2,2,In Stock,6,2,15.65
337505,1215,C,1429.67,2020-06-02,10,June Summer,10,5,In Stock,1,6,71.48
266072,1422,C,1168.65,2020-11-24,10,Norbert Thanks,9,4,In Stock,1,2,11.69
420398,1158,C,1150.00,2020-04-30,10,April Rains,1,1,In Stock,11,6,14.38
231120,1470,C,1212.75,2020-12-07,10,Dee Winter,3,3,In Stock,4,2,12.13
300187,1067,C,1135.00,2020-02-28,10,Fred Cold,6,1,In Stock,1,4,56.75
342908,1378,C,1040.00,2020-10-03,10,Ossie Leaves,1,1,In Stock,10,9,26.00
462221,1101,C,1105.00,2020-03-07,10,Matt Winds,6,1,In Stock,1,1,13.81
475700,1010,C,1276.28,2020-01-24,10,Jack Snow,7,2,In Stock,1,8,31.91
201510,1271,C,1343.13,2020-07-17,10,Justin Heat,4,4,In Stock,3,9,16.79
180710,1011,C,1282.36,2020-01-24,10,Jack Snow,3,3,In Stock,4,2,21.37
457306,1126,C,1192.36,2020-04-02,10,April Rains,3,3,In Stock,3,2,29.81
420682,1272,C,1110.00,2020-07-28,10,Justin Heat,1,1,In Stock,11,9,27.75
457571,1221,C,1221.30,2020-06-24,10,June Summer,2,2,In Stock,6,5,61.06
483040,1334,C,1640.94,2020-09-02,10,Steve Fall,1,1,In Stock,16,10,27.35
382691,1281,C,1331.27,2019-07-31,10,Justin Heat,2,2,In Stock,6,2,13.31
314541,1081,C,1221.58,2020-03-11,10,Matt Winds,2,2,In Stock,6,7,61.08
345190,1070,C,1150.00,2019-02-28,10,Fred Cold,1,1,In Stock,11,6,14.38
415746,1306,C,1190.70,2019-08-16,10,Auggie Sunshine,1,1,In Stock,11,8,14.88
327408,1178,C,1146.60,2020-05-03,10,May Flowers,7,2,In Stock,1,8,14.33
342029,1029,C,1145.00,2020-01-10,10,Jack Snow,6,1,In Stock,1,8,14.31
327673,1263,C,1174.16,2020-07-25,10,Justin Heat,5,5,In Stock,2,2,14.68
219147,1137,C,1318.82,2020-04-26,10,April Rains,9,4,In Stock,1,4,13.19
